,Sentence,Label
0, Padam pottum... Charithram akanamenkil marakkar varanam,Negative
1, ikka dlg delivery oru rakshayumilla ... love uuuhhhhh ikkaaaaa,Positive
2, megastar back in action !!!!!!! bellary rajayallade #L oori raja !!!!!!! madhuravazhum Raja,Positive
3, Onnil kooduthal kandaavar ividea like adikk..nan.matram ano,Neutral
4, Onnil kooduthal thavana ee trailer kanda mahanmar undengil adi monne like....njan ulpede,Neutral
5, Mammooty fans,Negative
6, Last oru palli kaanikkunnille athu eetha place,Neutral
7, soubin fans like adi makkale,Neutral
8, Adipoli mass padam aarikkum. Ikkede alle padam,Positive
9, Brand new Bmw il vannerangum ennu pratheekshichu,Neutral
10, All kerala surya fans like adii,Neutral
11, angana pritviye kanan 5 july,Positive
12, Annalum sunny chechiye randu shotl othukkiyallo.. kashtam tanne muthalali,Negative
13, Doll inte bgm ishtappettavar like adikk,Neutral
14, 14 minute  65 k like  Ith polikkum,Positive
15, Pinnne Bgm adipoli ikkayude nadatham koodi aavumbo parayandallo,Positive
16, Hahah dislike kuranju....athu mammoottyy fans annanu parayyooooooo,Neutral
17,Lucifer Oru political movie anennu arum pratheksichilla...,Neutral
18, Kidu  Lucifer  A10,Positive
19, pls 1nu movie kanu chirikkathaver chirikkum  pattuna pani nokkuva ea70 vazhzsil pls prayathe bhamanikkunu,Negative
20, Mamagam trailer tomorrow kaathirikkunna var undakil like here,Positive
21,Madhuraraja ye kaal valara mikacha quality feel cheyyunnu.  A Mammookka fan.,Positive
22, Poli ploi nte ponno romanjam,Positive
23, 12 Mani kazhn kaanunnvar ivde like,Neutral
24,Ikka namihu ningale only Wold king,Positive
25,Pokkiri rajayumayde storyumayi enthakilum bendham undo,Neutral
26,Ithu 10 m mamankam 15 m cross cheyuvayirikum,Neutral
27, Trailer kandu lalettaa Cinema super hit avum all the best to you lalettaa,Positive
28, Odiyan iruttinda raja   Enda ethra Kali kandittulladhaan ne    Odiyan odi odi odiyan,Neutral
29,ithil premiere akunnathinu munbe dislike adich kalikana saddistukaleyoke enthaa cheyyaa.loka duranthangal hahaha,Negative
30, Aahh kaalathille Muslim baasha enganaanoo athu polle thanneyanu lallettan ithill present cheyithirrikunnee Padam polkummmm,Positive
31, Ithil love reaction button indaarrnneeel njekkittt pottikkaaarrnnn,Positive
32,Malayalathinte evergreen yuthan pirannal aashamsakal Mammokka uyirrr,Positive
33,#L kandatt iniyum inyum kaananm enne thonnunnavar undo ividea...,Neutral
34, Ethu powlikkum maduraraja yum puliyum myrumonnumalla nammukke vendate immatiri items aane,Negative
35, Kayamkulam kochunnila nayakan lalettan allallo but kayyadi muzhuvanum kond poi...marana masss intro,Positive
36, Repeat mode on..... Romanjification ...ettan pakka mass,Positive
37, Ith polikun Nighal ath parayunnu Polikumo illayo Polikum akil like cheyu,Positive
38, Katha manasilay Tv il varambam kanam,Negative
39, Anthena maire nigal unlike adikunne nalla trailer alle,Negative
40, Dileepettaaa...last dialogue Karayippichallo... .5 second  Lalettan kazhinja dileepettan aanh full senti,Positive
41, Pwolichu    ...  lalettaaa,Positive
42, Jelli kettinte trailer bgm pole ind,Positive
43, Trailer കാണാൻ വേണ്ടി urakathe kathe ninvar ലൈക്‌ adi,Neutral
44, Sare  MLA riyas nte frndaa Aano enkil frndshipdayku oru cake medichu koduku..🤣,Neutral
45,CBSE kaarkk ini state pillarde vaka verppikana trolls ini ividam muthal thurangukayan soorthukkale !,Neutral
46, Aarada dislike adikkane ethil entha kuzhappam,Negative
47, MARADONA june 22anuu kanilee Elarumm,Neutral
48, Classum massum cherna oru onnonnara item,Positive
49, Lucifer ethara view anenu nokan idaku idaku varunavaruku likean ulla sathalam,Neutral
50, Ingerk ethra vayas aa nna paranje????,Neutral
51, Raju ettaaaa ningal Vera level,Positive
52, Looks like netflix series oru film aayi coloring Mach aavunnilla,Negative
53, 5 il kooduthal thavana kandathu njn maathramaano   katta mammooty fans cmnt here,Positive
54,Ith kandapo ronchaaamam Enik matram aanoo vanne,Positive
55, entammo romanjaam romam ezhunettu nikkunnu . enna trailara laletan marana mass,Positive
56, Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam,Positive
57, Ee haters vann dislike adichalum 240k like und makkale..,Negative
58, Ee trailer 10il kooduthal thavana kandathu njan maathram aano?,Neutral
59, Padam kandavarkku like aam Mass ka baap,Neutral
60, Ee trailer ippo kanan varunnavar adi like..,Neutral
61,Ithum koodi kooty  ente 905 aam view,Positive
62, Uffffff.. mammookkkaaaa.... love youuuu...  massssss... katta waitingggg,Positive
63, Moonnam divasavum trending no:1 Ettan,Positive
64, Ithu njangal polichadukkum. Love you latetta.....,Positive
65, 4m views 300k likes trending 1 Mollywood king  ലാലേട്ടൻ,Neutral
66, Padam kandu kazhinju evdae vannavar arrokkae und...,Neutral
67, Kandittt kadhayulla film ahnn thonnunnu... 🥰,Positive
68, I love മലയാളം-ಮಲಯಾಳಂ- Malayalam movies. Love from ಕರ್ನಾಟಕ-കർനാടക-Karnataka,Neutral
69, 192 k views 198 k like         Adipoli ba poka..,Neutral
70, Njn matramano ee trailer oru noor thavanaaayit kand kond irikunne,Neutral
71,Pk Ramdas... Nammude Rajettan aanennu njn parajal nigalude abhiprayam...????,Neutral
72, Ittimaniyile laleattente look ishtamaayavar like adi....,Neutral
73,Ee shareeramulla manushyanevech ee padam cheydh kulamakarudh plees,Negative
74, What a Trailerori raksha illa   1;40 punch uff  mammukkaaa aaaaaaaaaa,Positive
75, Vaan Trailer .... laleetta nigga Oru jinn Aanu kettoo.....mass voice,Positive
76, Poli poli poli .... am waiting..,Positive
77, Prithviraj undonnu nokkaan veendum vanna njn..,Neutral
78, Comedy cheyan Oru prethaka kazhivu vennam athu surajinu ilaaa. Full chali aytaanu thonnanee,Negative
79,Trailer superrrrr ikka pwolikkum padam oru action thriller blockbuster ayirikkum,Positive
80,Ith nallavannam tamilnattil  irakkiyal 300cr aavumayirunnu,Neutral
81, Sunny chechi ullath kond cinema jayikum,Positive
82, Ithill vineeth sreenivasan aayirikkum negative role.. Nokkiko..,Neutral
83,Ee padathine nammal vijaya gara maakkanam....,Positive
84, Lal fans dis like adi ippozhe thudangi,Negative
85, Thirakku kettan sunny chechiyokkeee venam lee.,Neutral
86,Mohanlal fans like here. Trailer maran mass. Uff kidu,Positive
87, Trailer varumboyekkum ethu naayinte makkalaa dislike adikene,Neutral
88, Ithokke cheyyumpo mamookkakku,Positive
89, Copy full pulimurugan kanuna pole unde,Negative
90, Ikkaaaaa masss enn vechaal ithaam masss,Positive
91, Dislike pooranmar neeti oru oombu vecho,Negative
92,Nammala Lalettan fans 1 like adiche,Neutral
93, Idhilum Manju warrierude husbandine konna aale kandupidich kollunnathaano kadha,Neutral
94,Poli poli poli 🥰🥰🥰chende bgm wooow,Positive
95,Eattan fanzz koode ind...ninga polikk ikkkaaaa,Positive
96,Ithokke like adichillel,Positive
97, Ambada kalla... Views ethra aayi ennu nokkan vannathanalle?,Neutral
98, Dislike adichavar mamooty fans ayatinal onnum parayanilla. Raja 3 strong adaaa. Ijjati mammunniss,Negative
99, 27k dis like athinu mathram enthu kuravanu ningal ea teasaril kandathu,Negative
100, Unda enna perittappo parihasicha priyadarshanu kod urundaa,Negative
101, Ith nammal vijaricha unda alla makkaley ith vedi undayanu,Neutral
102,Mamukka ottiri ishttamm ethe polikkumm,Positive
103, Dileepettan...luv u ..luv u so much,Positive
104, ntemmo director aranen njn ipazha arinjepakachpoi,Neutral
105, Adipoli Trailer.......   parayaan Vaaakkilaa  Lalettan fans like here,Positive
106, Telugu trailor kandit ithu kandavar aarelumundo.. ?,Neutral
107, lub u lub u..... Laletta ..... L... U... C.... I... F... A.....R.,Positive
108,ee padathinu reach kuravanu.Trailerum pora.Pottum ennulla karyam guarantee.pinne fans vannu enne choriyan nikkenda.Sathyam ithaanu,Negative
109, nte ponnoooo .... <3 oru rakshayum illaa ..... <3,Positive
110,Dislike adikunna mammunikale,Negative
111, Trailler pora padam 8 nela pottum ane tonunee,Negative
112,Waiting  3pravashyam  kanum  releaseday,Positive
113, padam   pole anu muthe,Positive
114, Kandappo  oru  kuliru  keri  mone🤗.  Ningalkkum  vannengil  like  here,Positive
115, Pazassiraja  ennu parannu  chilakunnavar  orkuka athu flop nnu,Negative
116, Like nokaan varunnadh njan mathramaano..,Neutral
117, Nalla kidilan trailer . Ithu kidukkum.wowww......,Positive
118,ikka kalakki super kidiloski trailer raja theatre poora parambu aakum,Positive
119,Mammoonny .... Komali... Loka tholvi. Sammathikkunnavar Like Adikku,Negative
120, Daily vann oru pathu thavana engilum repeat adich kaanunnath njn maathramaanoo..,Positive
121, stock roomil stuck aaayi freezing room,Neutral
122, Salimkumar comedy verupikkum enna kariyathil urappayyi,Negative
123, Lalettan fans like.  Super movie ikka muttwanu,Positive
124, Ee padam pwolikkum pwoli teaser teaser...,Positive
125, Ini kando... Adiude Ideude Vedi pooram......🧨🧨,Positive
126, @vibin mangalassery,Positive
127, Odiyane thakarkkan kanji vilambi nadannavarkku ulla chicken biriyani...oru biriyani edukkatte chetta..,Neutral
128, Kanum munpe dislike adicha aa mahanmarude manasu aarum kanathe pokaruthu,Negative
129, Kochu pillerode chodikkan eth rajayalla nattellulla stephen nedumpalliyaanu.,Positive
130, supr ikka powli ..... padam supr arikkim urappaa.... ikka lve u ....,Positive
131, Luv u laletta ....katta fans undo..prithviraj fans hit like,Neutral
132,Onnum parayanilla... Pinnem pinnem kandavar like adikk ....,Neutral
133, Uff kidilam oru ethum pediyum kittanilla story nthayirikkumenn 5vare Kath irikkanamallo katta waiting,Positive
134, Poli padam njn ella mammooty movies kanarundu itrekku disapointed akkiya oru movie aduthundayittilla,Negative
135, Arelenkilum oru kuprasidha payyan ful move link undo,Neutral
136,Than ketto? Anna benn fans like adi,Neutral
137,Trailer....nte ponno...oru rakshem illa katta pwli.....ikka pne parayandaallo....megastar mammootty in mamangam....katta wa8tng  haters...jst move bck,Positive
138, Ikka hvy  vere lvl trailer,Positive
139,Çhūñk mammukkakkum vyshakettanum ente big salute  Inganoru mass Padam orukkithannathinu Ikka bhakthans,Positive
140, Fucking awesome mahn... Latettan poliiiiii.. Rajubhai chathikikllaaa.. Waiting for lucifer... Odukathe trailer ayi poyi monneeeeeeeeeeeeeeeeee,Positive
141, Enntta surajetta Super oru rakshaum ella,Positive
142, Superb & promising  trailer,Positive
143, Aunty odi nadannu kanji koduppaanu pani,Neutral
144, Entharanjittadoo okke unilke cheyyanee.......naanamketta paripaadi....kashtapettu cinima edutha ....athulim koreee ennam und ....vivaadhavum kond irangikolum,Negative
145,Kanditt nalla quality olla padam aann thonnunnud,Positive
146,Haters dislike ... Paavo ithrakkum pediyaano oru padavam verunne... Kaishttam haters🤣,Negative
147, Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam,Positive
148, Pirates of the Caribbean .. Peru maati ettal aalkar chilappol like adikkum..  Aale pattikkan eniyum engane nalla nalla teasers pratheekshikkunnu.,Negative
149, Poli trailer waiting for april12th trailer inganeyanengil cinemayude karyam parayano,Positive
150, Raju etta ningal Malayala cinema ye Vere Level Aaakum Alle,Positive
151, kure naalu koodiya oru mammookka trailer kaandu santhosham thonunnathu.,Positive
152, Olakel varapicha oru avataram annu namuda chank mamangam,Neutral
153, 10 million views adikkumenn parayunavar like adikku,Neutral
154, Dislike adichavarokke  ith okke kanditt engane dislike adikkaan saadhikunnu uvve,Neutral
155, Classinu class maassinu mass ijjaathi item raaju ettan      & mammookka,Positive
156,Agane nallu peru koodi valichu mannu ettalonnum japan theerulla,Neutral
157, Evideyo miss aaya pole pazhaya lalettane thirichu kittiya pole..thaadi vecha pinne..payyan pwoli alle....luv u. .Lalettaa...,Positive
158, Valip padam enn thonnunavar like adi,Neutral
159,Aaruvaadee dislike adich ponath ithrakk kazhappoo,Negative
160,Sunny chechiye kandavar like adi,Neutral
161, Ichayan kasari. Kiduki. Porich. Njgal tcr karude swagraya ahagaram,Positive
162, Ith verum trailer ini padam muzhuvan undaa vilayaattam,Neutral
163, E padam polikkum allee  mammookkaa fans nammakullathaaanu e padam,Positive
164, Ettan anthannu kandallo ettan fans hit like,Neutral
165, Average trailer...tiyaan pole akandu iruna mathiyarno....too many dialogues..,Negative
166, Fight dialoge bgm oru rakshayum illa,Positive
167, Ithilum valiya verupikal padam swapnagalil mathram,Negative
168, Lalleettan faans aa like button adichu pottichekku ...,Neutral
169,Ellarum like adikkee eniit share cheyee,Neutral
170,Mohanlal fans like here .... Ettan maaasss aanu,Positive
171, Alla....manasilalyoooo.......  Viswasichu koodevarunnavare jeeevanaan .....eetu....jeevan .....koduthayaaalum ...... Samrakshichirkkum.......  Madhura Raja .......,Neutral
172, Just 1min      etra per page il und,Neutral
173, avasaanathe superman punch ath kalakkki ente ponnu ikka love uuuu...........,Positive
174, Charitra cinema aano nayakan mamooka allae vere aarundundu abhinayikkan,Positive
175, Njan kandukondee irikunnu... vendum vendum.. vere aarenkilm undo ennae pole....,Positive
176,Poli poli polichu mass mass mass maranamass,Positive
177, ambo ikka kidu enta ponno hvy bgm gopi chetta kidu love you ikka,Positive
178, Ella recordum theerkaan kazhiyatte ennaasamsikunnu...Enkil maathre e record marakaar release aavumbo thiruthaan saadhikku,Positive
179, Dislike adikkunna teams aranenn manasilaayo makkale....,Neutral
180,lalappan fansinte annakkil thooriya trailer 🤣🤣🤣🤣,Negative
181, alla ee ikka ithu enthu bhavichaa 2019 full aghu edukkuvano,Positive
182, ikka ennum top lanu one and only raja,Positive
183, Mohal lal aa filmil thovinone kaanunne polum illaa...aa filmil mohanlalinde aniyanaanh...yendh aniyan...prrrrr...kaanunne poolum illaa,Neutral
184, Ahaa hahaha ha.... Nte ponnikkka mutheeee,Positive
185,fans show ku pokunavar Like chy ethra per undanu nokatee,Neutral
186, Poliiiii oru rekshem illa katta waiting,Positive
187, Bgm poaRaaa.... Goapi aanel maanthittaanelum Bgm GoosebumpS aakkum,Negative
188, Mammootty pwolikkum,Positive
189,Oru kolamaass dialogue um athine vellunna look um,Positive
190, Ente ee comentinu like illaathathu aarum tharaathathu kondalla  Comment hang aayi nikkunnatha,Neutral
191, Hindu kalku mahiravan islaminu ebileesu christianikalkku LUCIFER,Positive
192,Kidu adar item !! From a kaataa laleetan fan,Positive
193, Trailer pora..Oru pathu kollam mumbulla tamil cinemade trailer polund,Negative
194,Edak edak vannu views nokunavar evide like adik.  #Lalettan #Prithiviraj,Neutral
195, innale night 189k like undayirunnu. today 129k entha ithu,Neutral
196,Nalla movie njan theatril poyi kandthalalettan poliyanu,Positive
