,Sentence,Label
0,Y NUEVO AVATAR TURN DOWN FOR WHAT,positive
1,picheale todavia estas en tu bday week ojalaiiii,positive
2,Habrá una Fila tan larga como la d Hoy en VS,negative
3,No matter how much I try,positive
4,Best dress Bella con su vestido,positive
5,Que dificil es levantarse de un nap coño,negative
6,#NotitasDelNarco part,positive
7,Tengo que entrar en razón ya de que las justas se acabaron y que ya no tengo excusa pa pichar la uni,neutral
8,Esto de entregar los trabajos a última hora needs to stop,positive
9,gastritis Spent all night throwing up,negative
10,why you go Te extrañamos,positive
11,El vlog de hoy MI NO OPINIÓN SOBRE PARÍS,neutral
12,quisiera un dollar por cada bobby pin en mi pelo,neutral
13,heart exclamation red red red heart exclamation #salhuastore los accesorios más lindos para esta navidad cinturones collares y pulseras #salhuastore,positive
14,En realidad no necesito el premio Mi mayor logro es tener esta familia de zombers y si el premio me lo dan será de todos vosotros smiling face smiling face smiling face with smiling eyes face savoring food,positive
15,lol it 's my dream wedding since I witnessed a wedding like that as a kid aya en mi Durango heart suit,positive
16,Me ha gustado un vídeo de de OVERWATCH KRONNO ZOMBER ZARCORT Videoclip Of,neutral
17,Cuando subes un Tema de Rap por fin y cuando lo ves al dia siguiente con mas de,positive
18,INFAMOUS SECOND SON KRONNO ZOMBER HEROE O VILLANO Prod por Sa vía,neutral
19,ah y pablo happy y cane te mandan un besito tambien jajaja,positive
20,Me canso de la gente rápido no me gusta eso man,positive
21,o simplemente querían pa 'l de rt 's,neutral
22,Inside joke o no daniella estate speaking day truth jajajajaja,neutral
23,Cuan weird es que yo escucho cada paso y cada movimiento que dan mis vecinos de arriba Literalmente escucho todo lo que hacen hear-no-evil monkey,positive
24,No quieren usar condon usa pastillas no quieres usa Skyla y mas mierdas que fucking existen,neutral
25,Tu teléfono no sólo sirve como calculadora Con sólo unas apps tendrás el mejor ayudante,positive
26,El look de a la Moda siempre #armani dress,positive
27,Sabes que tienes frio cuando empiezas a perder feeling en los dedos,neutral
28,Every one is freaking sick yo wtf,neutral
29,Siempre me levanto bien jodia de los nap,positive
30,Today in 7th period I went so Mexican on everyone smiling face with sunglasses I me senti Muy chignona person tipping hand face with tears of joy red heart,positive
31,Vamos chicas preparen sus preguntas que viene a darte todos su tips de moda a las,positive
32,Rebajar se me hace tan fkn dificil,negative
33,que tu me dicessss daleeee pleasee,positive
34,se me olvido ponerte el mention blushing,positive
35,you had one job autogoal no es uno de ellos,negative
36,Finally going home neutral face,neutral
37,quedo bello baby,positive
38,Tenia wedgie y cameltoe at the same dam time face with tears of joy,positive
39,At least fasfa is coming #graciasadios clapping hands,positive
40,Siiii nena estaban en todo El show te aviso ahora le pregunto a cuando tocan en Miami,positive
41,Longhorn con mi,neutral
42,Jajajajjajjq #Mori #Share,positive
43,ya tas peda lmao,neutral
44,jajaja diablo que badtrip el mío fue que la lámpara estuvo mucho tiempo prendida y lo quemó broken heart,negative
45,el que me quiera en su vida que busque la manera tired of this shitt,negative
46,She woulda been like ke mokoza cabronaaa cuando le diga a tu mama t va meter unas nalgadas pa k c t aplasten tus nalgas Lmao,positive
47,Quiero un biscuittttttttt,positive
48,lol siii que sea una gavacha y que ni intende nada de espanol pa andar dicendole mamadas atras de su espalada,negative
49,Same here Lo mismo digo Person I had a long day Person Same here,neutral
50,da truth,neutral
51,No se que es peor el neckbrace o la cantidad de medicamentos que tengo en mi cuerpo ahora mismo,negative
52,Lanzamiento de la Revista Imagen Junio en Westland Mall,positive
53,Pal de cute,positive
54,Imagen Modeling by La Gatita Nuevos cursos registraciones,positive
55,El vlog de hoy pequeños cumulonimbus ME HE PUESTO NERVIOSA,neutral
56,Me ha gustado un vídeo de de YO SOY UN RAP PLAYER DESCARGA ÁLBUM EN LA,positive
57,pound on a cold y se te quita lol,neutral
58,La pauta la causa Dimelo Coscu rt,neutral
59,Claro que aparecerá la señorita Zomber en el videoclip Es más es la protagonista skull red heart skull red heart smiling face with smiling eyes,positive
60,Colores fuertes y llamativos aun de moda para el otoño Bold colors still in fashion here how to use it for the Fall,positive
61,A la gente como que le encanta tirarse all-nighters wtf,positive
62,Termino un workout y me dan ganas de comerme una vaca entera,positive
63,When Laura was begging for the tacos to Pablo face with tears of joy face with tears of joy face with tears of joy omg made my day face with tears of joy face with tears of joy,positive
64,te lo juro que nunca me he reido tanto en mi vida me sacor a donald so feel proud,positive
65,CONSIGUE GRATIS BLACK OPS Y STAR WARS BATTLEFRONT Cómo AQUÍ,positive
66,Porque sabemos como vernos bien #salhuaclothing,positive
67,#quemensaguey Love you friend pero I want to oncoming fist right now love u too winking face with tongue victory hand,neutral
68,oye tenéis algo para ayudarme a tener wifi allá donde vaya en el mundo para subir mis vídeos,neutral
69,earlyy no salgo de mi cuarto hasta que termine la monografia,neutral
70,Iphone porfin smiling cat with heart-eyes,positive
71,jajajaja sec despues de mi tweet dime que no te la explote,positive
72,Touch da booty,positive
73,La familia de son GOALS red heart,positive
74,Buenas noches Zombers mañana será otro dia descansen shooting star milky way,positive
75,I Cuando Te vas face screaming in fear,positive
76,Desayuno de Quiznos y pal Gate Esperamos tener suerte hoy Spirit es una SHIT Jamas vuelvo a utilizar esa línea,negative
77,cafe terrance at night vincent van gogh,neutral
78,SI Eso significa que habrá una canción que hable de vosotros Zombers Será vuestra canción pero primero ZOMBER GIRL,neutral
79,Tamales posole buchanas ponche family Love it,positive
80,And I wo n't stop,negative
81,Ignotizame con tu flow aki solo somos tu y yo,negative
82,Sacen a Los pa halftime #superbowl,positive
83,Let the fun time begin #afterparty #biltmore #premiosjuventud #weworkhard and #weplayhard,positive
